"id","scientificName","names_wo_author","est"
22483,"Garcinia madruno (Kunth) Hammel","Garcinia madruno","MG"
22511,"Terminalia catappa L.","Terminalia catappa","MG/ES"
22654,"Sloanea sinemariensis Aubl.","Sloanea sinemariensis","MG/ES"
22666,"Acalypha diversifolia Jacq.","Acalypha diversifolia","MG"
22668,"Acalypha macrostachya Jacq.","Acalypha macrostachya","MG"
22713,"Jatropha curcas L.","Jatropha curcas","MG"
22717,"Mabea fistulifera Mart.","Mabea fistulifera","MG/ES"
22718,"Mabea fistulifera subsp. robusta Emmerich","Mabea fistulifera","MG"
22722,"Mabea pohliana (Benth.) Müll.Arg.","Mabea pohliana","MG"
22781,"Amburana cearensis (Allemão) A.C.Sm.","Amburana cearensis","MG/ES"
22787,"Andira inermis (W.Wright) DC.","Andira inermis","MG"
22788,"Andira inermis (W.Wright) DC. subsp. inermis","Andira inermis","MG"
22794,"Andira vermifuga (Mart.) Benth.","Andira vermifuga","MG"
22796,"Apuleia leiocarpa (Vogel) J.F.Macbr.","Apuleia leiocarpa","MG/ES"
22831,"Bauhinia ungulata L.","Bauhinia ungulata","MG"
22844,"Caesalpinia pulcherrima (L.) Sw.","Caesalpinia pulcherrima","MG/ES"
22881,"Chloroleucon tenuiflorum (Benth.) Barneby & J.W.Grimes","Chloroleucon tenuiflorum","MG/ES"
22896,"Copaifera langsdorffii Desf.","Copaifera langsdorffii","MG/ES"
22914,"Dalbergia miscolobium Benth.","Dalbergia miscolobium","MG"
22915,"Dalbergia nigra (Vell.) Allemão ex Benth.","Dalbergia nigra","MG/ES"
22927,"Delonix regia (Bojer ex Hook.) Raf.","Delonix regia","MG/ES"
22940,"Dialium guianense (Aubl.) Sandwith","Dialium guianense","MG/ES"
22969,"Erythrina verna Vell.","Erythrina verna","MG/ES"
22972,"Hymenaea courbaril L.","Hymenaea courbaril","MG/ES"
22982,"Inga alba (Sw.) Willd.","Inga alba","MG"
22985,"Inga barbata Benth.","Inga barbata","MG/ES"
22990,"Inga capitata Desv.","Inga capitata","MG/ES"
22999,"Inga cylindrica (Vell.) Mart.","Inga cylindrica","MG"
23000,"Inga edulis Mart.","Inga edulis","MG/ES"
23006,"Inga ingoides (Rich.) Willd.","Inga ingoides","MG/ES"
23007,"Inga laurina (Sw.) Willd.","Inga laurina","MG/ES"
23012,"Inga marginata Willd.","Inga marginata","MG/ES"
23014,"Inga nobilis Willd.","Inga nobilis","MG"
23015,"Inga nobilis Willd. subsp. nobilis","Inga nobilis","MG"
23029,"Inga striata Benth.","Inga striata","MG/ES"
23033,"Inga thibaudiana DC.","Inga thibaudiana","MG/ES"
23034,"Inga thibaudiana DC. subsp. thibaudiana","Inga thibaudiana","MG/ES"
23039,"Inga vera Willd.","Inga vera","MG/ES"
23040,"Inga vera subsp. affinis (DC.) T.D.Penn.","Inga vera","MG/ES"
23052,"Lonchocarpus cultratus (Vell.) A.M.G.Azevedo & H.C.Lima","Lonchocarpus cultratus","MG/ES"
23059,"Machaerium hirtum (Vell.) Stellfeld","Machaerium hirtum","MG/ES"
23124,"Platypodium elegans Vogel","Platypodium elegans","MG/ES"
23129,"Poeppigia procera (Poepp. ex Spreng.) C. Presl","Poeppigia procera","MG/ES"
23143,"Schizolobium parahyba (Vell.) Blake","Schizolobium parahyba","MG/ES"
23157,"Senna multijuga (Rich.) H.S.Irwin & Barneby","Senna multijuga","MG/ES"
23163,"Senna pendula (Humb.& Bonpl.ex Willd.) H.S.Irwin & Barneby","Senna pendula","MG/ES"
23170,"Senna silvestris (Vell.) H.S.Irwin & Barneby","Senna silvestris","MG/ES"
23172,"Senna spectabilis (DC.) H.S.Irwin & Barneby","Senna spectabilis","MG"
23198,"Tachigali paniculata Aubl.","Tachigali paniculata","MG"
23201,"Tamarindus indica L.","Tamarindus indica","MG/ES"
23207,"Tipuana tipu (Benth.) Kuntze","Tipuana tipu","MG"
23216,"Zygia cataractae (Kunth) L.Rico","Zygia cataractae","MG"
23225,"Zygia latifolia (L.) Fawc. & Rendle","Zygia latifolia","MG/ES"
23320,"Aegiphila integrifolia (Jacq.) Moldenke","Aegiphila integrifolia","MG/ES"
23346,"Aniba burchellii Kosterm.","Aniba burchellii","MG"
23347,"Aniba canelilla (Kunth) Mez","Aniba canelilla","MG/ES"
23382,"Nectandra hihua (Ruiz & Pav.) Rohwer","Nectandra hihua","MG"
23402,"Ocotea floribunda (Sw.) Mez","Ocotea floribunda","MG/ES"
23426,"Cariniana domestica (Mart.) Miers","Cariniana domestica","MG"
23478,"Lafoensia vandelliana Cham. & Schltdl.","Lafoensia vandelliana","MG"
23491,"Bunchosia glandulifera (Jacq.) Kunth","Bunchosia glandulifera","MG/ES"
23545,"Cavanillesia umbellata Ruiz & Pav.","Cavanillesia umbellata","MG/ES"
23585,"Pachira aquatica Aubl.","Pachira aquatica","MG/ES"
23801,"Melia azedarach L.","Melia azedarach","MG/ES"
23807,"Trichilia elegans A.Juss. subsp. elegans","Trichilia elegans","MG/ES"
23856,"Mollinedia ovata Ruiz & Pav.","Mollinedia ovata","MG/ES"
24027,"Myrcia magnoliifolia DC.","Myrcia magnoliifolia","MG"
24034,"Psidium guajava L.","Psidium guajava","MG/ES"
24134,"Averrhoa carambola L.","Averrhoa carambola","MG/ES"
24161,"Phyllanthus acuminatus Vahl","Phyllanthus acuminatus","MG/ES"
24352,"Lacunaria crenata (Tul.) A.C.Sm.","Lacunaria crenata","MG"
24428,"Coussarea paniculata (Vahl) Standl.","Coussarea paniculata","MG/ES"
24500,"Palicourea calophylla DC.","Palicourea calophylla","MG"
24531,"Posoqueria longiflora Aubl.","Posoqueria longiflora","MG/ES"
24637,"Xylosma benthamii (Tul.) Triana & Planch.","Xylosma benthamii","MG"
24694,"Allophylus strictus Radlk.","Allophylus strictus","MG"
24853,"Cestrum strigilatum Ruiz & Pav.","Cestrum strigilatum","MG/ES"
24880,"Solanum betaceum Cav.","Solanum betaceum","MG"
25124,"Aspidosperma dispermum Müll.Arg.","Aspidosperma dispermum","MG/ES"
25204,"Acritopappus irwinii R.M.King & H.Rob.","Acritopappus irwinii","MG"
25229,"Eremanthus polycephalus (DC.) MacLeish","Eremanthus polycephalus","MG"
25232,"Lychnophora crispa Mattf.","Lychnophora crispa","MG"
