usagekey	scientificname	rank	status	matchtype	canonicalname	confidence	kingdom	phylum	order	family	genus	species	kingdomkey	phylumkey	classkey	orderkey	familykey	genuskey	specieskey	synonym	class	acceptedusagekey	note	original_sciname
2957158	Senna multijuga (Rich.) H.S.Irwin & Barneby	species	ACCEPTED	EXACT	Senna multijuga	98	Plantae	Tracheophyta	Fabales	Fabaceae	Senna	Senna multijuga	6	7707728	220	1370	5386	2956904	2957158	FALSE	Magnoliopsida	NA	NA	Senna multijuga
3799800	Solanum granulosoleprosum Dunal	species	ACCEPTED	EXACT	Solanum granulosoleprosum	98	Plantae	Tracheophyta	Solanales	Solanaceae	Solanum	Solanum granulosoleprosum	6	7707728	220	1176	7717	2928997	3799800	FALSE	Magnoliopsida	NA	NA	Solanum granulosoleprosum
5792753	Solanum granulosum-leprosum Dun.	species	ACCEPTED	FUZZY	Solanum granulosum-leprosum	90	Plantae	Tracheophyta	Solanales	Solanaceae	Solanum	Solanum granulosum-leprosum	6	7707728	220	1176	7717	2928997	5792753	FALSE	Magnoliopsida	NA	Similarity: name=90; authorship=0; classification=-2; rank=5; status=1	Solanum granulosoleprosum
2930421	Solanum lycocarpum A.St.-Hil.	species	ACCEPTED	EXACT	Solanum lycocarpum	98	Plantae	Tracheophyta	Solanales	Solanaceae	Solanum	Solanum lycocarpum	6	7707728	220	1176	7717	2928997	2930421	FALSE	Magnoliopsida	NA	NA	Solanum lycocarpum
7691794	Solanum liocarpum Bitter	species	ACCEPTED	FUZZY	Solanum liocarpum	92	Plantae	Tracheophyta	Solanales	Solanaceae	Solanum	Solanum liocarpum	6	7707728	220	1176	7717	2928997	7691794	FALSE	Magnoliopsida	NA	Similarity: name=95; authorship=0; classification=-2; rank=5; status=1	Solanum lycocarpum
2930406	Solanum leucocarpon Dunal	species	ACCEPTED	FUZZY	Solanum leucocarpon	9	Plantae	Tracheophyta	Solanales	Solanaceae	Solanum	Solanum leucocarpon	6	7707728	220	1176	7717	2928997	2930406	FALSE	Magnoliopsida	NA	Similarity: name=5; authorship=0; classification=-2; rank=5; status=1	Solanum lycocarpum
3802657	Solanum luffocarpum A.Chev.	species	ACCEPTED	FUZZY	Solanum luffocarpum	9	Plantae	Tracheophyta	Solanales	Solanaceae	Solanum	Solanum luffocarpum	6	7707728	220	1176	7717	2928997	3802657	FALSE	Magnoliopsida	NA	Similarity: name=5; authorship=0; classification=-2; rank=5; status=1	Solanum lycocarpum
2929936	Solanum lythrocarpum A.R.Bean	species	ACCEPTED	FUZZY	Solanum lythrocarpum	9	Plantae	Tracheophyta	Solanales	Solanaceae	Solanum	Solanum lythrocarpum	6	7707728	220	1176	7717	2928997	2929936	FALSE	Magnoliopsida	NA	Similarity: name=5; authorship=0; classification=-2; rank=5; status=1	Solanum lycocarpum
2931154	Solanum sycocarpum Mart. & Sendtn.	species	ACCEPTED	FUZZY	Solanum sycocarpum	9	Plantae	Tracheophyta	Solanales	Solanaceae	Solanum	Solanum sycocarpum	6	7707728	220	1176	7717	2928997	2931154	FALSE	Magnoliopsida	NA	Similarity: name=5; authorship=0; classification=-2; rank=5; status=1	Solanum lycocarpum
8104249	Solanum microcarpum (Pers.) Vahl	species	SYNONYM	FUZZY	Solanum microcarpum	8	Plantae	Tracheophyta	Solanales	Solanaceae	Solanum	Solanum pseudocapsicum	6	7707728	220	1176	7717	2928997	2931104	TRUE	Magnoliopsida	2931104	Similarity: name=5; authorship=0; classification=-2; rank=5; status=0	Solanum lycocarpum
8526801	Solanum microcarpum Cerv.	species	SYNONYM	FUZZY	Solanum microcarpum	8	Plantae	Tracheophyta	Solanales	Solanaceae	Solanum	Solanum argentinum	6	7707728	220	1176	7717	2928997	2932402	TRUE	Magnoliopsida	2932402	Similarity: name=5; authorship=0; classification=-2; rank=5; status=0	Solanum lycocarpum
2929461	Solanum microcarpum Cerv. ex Lag.	species	SYNONYM	FUZZY	Solanum microcarpum	8	Plantae	Tracheophyta	Solanales	Solanaceae	Solanum	Solanum argentinum	6	7707728	220	1176	7717	2928997	2932402	TRUE	Magnoliopsida	2932402	Similarity: name=5; authorship=0; classification=-2; rank=5; status=0	Solanum lycocarpum
8471092	Solanum microcarpum Pav.	species	SYNONYM	FUZZY	Solanum microcarpum	8	Plantae	Tracheophyta	Solanales	Solanaceae	Solanum	Solanum corymbosum	6	7707728	220	1176	7717	2928997	2929459	TRUE	Magnoliopsida	2929459	Similarity: name=5; authorship=0; classification=-2; rank=5; status=0	Solanum lycocarpum
8102293	Solanum microcarpum Pav. ex Dun	species	SYNONYM	FUZZY	Solanum microcarpum	8	Plantae	Tracheophyta	Solanales	Solanaceae	Solanum	Solanum corymbosum	6	7707728	220	1176	7717	2928997	2929459	TRUE	Magnoliopsida	2929459	Similarity: name=5; authorship=0; classification=-2; rank=5; status=0	Solanum lycocarpum
2930857	Solanum pyrrhocarpum Phil.	species	SYNONYM	FUZZY	Solanum pyrrhocarpum	8	Plantae	Tracheophyta	Solanales	Solanaceae	Solanum	Solanum crispum	6	7707728	220	1176	7717	2928997	2930846	TRUE	Magnoliopsida	2930846	Similarity: name=5; authorship=0; classification=-2; rank=5; status=0	Solanum lycocarpum
5668489	Zeyheria tuberculosa (Vell.) Bureau ex Verl.	species	ACCEPTED	EXACT	Zeyheria tuberculosa	97	Plantae	Tracheophyta	Lamiales	Bignoniaceae	Zeyheria	Zeyheria tuberculosa	6	7707728	220	408	6655	3233563	5668489	FALSE	Magnoliopsida	NA	NA	Zeyheria tuberculosa
7379735	Zeyheria tuberculosa (Vell.) Bureau	species	SYNONYM	EXACT	Zeyheria tuberculosa	97	Plantae	Tracheophyta	Lamiales	Bignoniaceae	Zeyheria	Zeyheria tuberculosa	6	7707728	220	408	6655	3233563	5668489	TRUE	Magnoliopsida	5668489	Similarity: name=110; authorship=0; classification=-2; rank=5; status=0	Zeyheria tuberculosa
11080957	Zeyheria tuberculosa Burman	species	DOUBTFUL	EXACT	Zeyheria tuberculosa	95	Plantae	Tracheophyta	Lamiales	Bignoniaceae	Zeyheria	Zeyheria tuberculosa	6	7707728	220	408	6655	3233563	11080957	FALSE	Magnoliopsida	NA	Similarity: name=110; authorship=0; classification=-2; rank=5; status=-5	Zeyheria tuberculosa
2928878	Acnistus arborescens (L.) Schltdl.	species	ACCEPTED	EXACT	Acnistus arborescens	98	Plantae	Tracheophyta	Solanales	Solanaceae	Acnistus	Acnistus arborescens	6	7707728	220	1176	7717	2928875	2928878	FALSE	Magnoliopsida	NA	NA	Acnistus arborescens
11088028	Acnistus arborescens Linnaeus, 1756	species	DOUBTFUL	EXACT	Acnistus arborescens	95	Plantae	Tracheophyta	Solanales	Solanaceae	Acnistus	Acnistus arborescens	6	7707728	220	1176	7717	2928875	11088028	FALSE	Magnoliopsida	NA	Similarity: name=110; authorship=0; classification=-2; rank=5; status=-5	Acnistus arborescens
2973046	Albizia niopoides (Spruce ex Benth.) Burkart	species	ACCEPTED	EXACT	Albizia niopoides	98	Plantae	Tracheophyta	Fabales	Fabaceae	Albizia	Albizia niopoides	6	7707728	220	1370	5386	2972897	2973046	FALSE	Magnoliopsida	NA	NA	Albizia niopoides
